simulation_type,replication_id,fine_amount,avg_coop_propensity_all,avg_punishment_propensity,prop_group_retaliation,avg_ret_threshold_gr,prop_probabilistic,avg_coop_propensity_prob,cooperators_last_trial,is_cooperation_achieved
sim1,1,1.0,0.09563808312684519,0.09114449629896804,0.0,0.0,1.0,0.09563808312684519,27,false
sim1,2,1.0,0.0815945165723278,0.0851033354313928,0.0,0.0,1.0,0.0815945165723278,21,false
sim1,3,1.0,0.10835804409808013,0.1025321188367985,0.0,0.0,1.0,0.10835804409808013,21,false
sim1,4,1.0,0.14624551450975753,0.11728360862183798,0.0,0.0,1.0,0.14624551450975753,16,false
sim1,5,1.0,0.09252911351659865,0.08895409231878798,0.0,0.0,1.0,0.09252911351659865,14,false
sim1,6,1.0,0.16668795055050073,0.13469345328726423,0.0,0.0,1.0,0.16668795055050073,25,false
sim1,7,1.0,0.08436275993557367,0.09364165304944294,0.0,0.0,1.0,0.08436275993557367,10,false
sim1,8,1.0,0.09747887107959978,0.11110137736971891,0.0,0.0,1.0,0.09747887107959978,13,false
sim1,9,1.0,0.07425468311563621,0.08413011223942063,0.0,0.0,1.0,0.07425468311563621,22,false
sim1,10,1.0,0.09513198215687649,0.1205657656737952,0.0,0.0,1.0,0.09513198215687649,13,false
sim1,11,1.0,0.06137645282018062,0.07872298413843855,0.0,0.0,1.0,0.06137645282018062,23,false
sim1,12,1.0,0.10207228235471426,0.09231442861254764,0.0,0.0,1.0,0.10207228235471426,16,false
sim1,13,1.0,0.14507204039203836,0.1155292958727544,0.0,0.0,1.0,0.14507204039203836,33,false
sim1,14,1.0,0.0764042541139651,0.09393866792928832,0.0,0.0,1.0,0.0764042541139651,18,false
sim1,15,1.0,0.08252680095098165,0.10029356637965346,0.0,0.0,1.0,0.08252680095098165,14,false
sim1,16,1.0,0.07630232533529419,0.10476990036083798,0.0,0.0,1.0,0.07630232533529419,26,false
sim1,17,1.0,0.07359474474637162,0.09523065109494379,0.0,0.0,1.0,0.07359474474637162,14,false
sim1,18,1.0,0.10295472778322085,0.11206136559283936,0.0,0.0,1.0,0.10295472778322085,26,false
sim1,19,1.0,0.11372865034315474,0.07514063353871606,0.0,0.0,1.0,0.11372865034315474,25,false
sim1,20,1.0,0.08264162814089458,0.07805783022837139,0.0,0.0,1.0,0.08264162814089458,15,false
sim1,21,1.0,0.11094518077828804,0.09230549336544866,0.0,0.0,1.0,0.11094518077828804,28,false
sim1,22,1.0,0.13221654132979535,0.12408861593858217,0.0,0.0,1.0,0.13221654132979535,25,false
sim1,23,1.0,0.12902180023224397,0.10281992513755807,0.0,0.0,1.0,0.12902180023224397,15,false
sim1,24,1.0,0.06848239577883376,0.08132920844104281,0.0,0.0,1.0,0.06848239577883376,28,false
sim1,25,1.0,0.09586501095905044,0.10605060153488396,0.0,0.0,1.0,0.09586501095905044,12,false
sim1,26,1.0,0.10656185370307926,0.09833900457924377,0.0,0.0,1.0,0.10656185370307926,21,false
sim1,27,1.0,0.10014463522982188,0.11019306948912119,0.0,0.0,1.0,0.10014463522982188,15,false
sim1,28,1.0,0.05548177549644086,0.06730506441919357,0.0,0.0,1.0,0.05548177549644086,16,false
sim1,29,1.0,0.06117232104274442,0.08547298760143349,0.0,0.0,1.0,0.06117232104274442,20,false
sim1,30,1.0,0.08043391487204465,0.07700241284567906,0.0,0.0,1.0,0.08043391487204465,26,false
sim1,31,1.0,0.09365041931608309,0.09970378991451652,0.0,0.0,1.0,0.09365041931608309,23,false
sim1,32,1.0,0.09449774390883789,0.06275897313397834,0.0,0.0,1.0,0.09449774390883789,26,false
sim1,33,1.0,0.11816373006289133,0.10435847866605005,0.0,0.0,1.0,0.11816373006289133,20,false
sim1,34,1.0,0.10749432960999122,0.08583126955207182,0.0,0.0,1.0,0.10749432960999122,21,false
sim1,35,1.0,0.11870532492012402,0.11061285051635265,0.0,0.0,1.0,0.11870532492012402,15,false
sim1,36,1.0,0.09592087103713462,0.08196839154896525,0.0,0.0,1.0,0.09592087103713462,38,false
sim1,37,1.0,0.1026134954405578,0.1335035116194553,0.0,0.0,1.0,0.1026134954405578,17,false
sim1,38,1.0,0.12578513569761565,0.13285929592785364,0.0,0.0,1.0,0.12578513569761565,23,false
sim1,39,1.0,0.0921591798286414,0.11763031268584646,0.0,0.0,1.0,0.0921591798286414,14,false
sim1,40,1.0,0.10342470684060576,0.11885588108335723,0.0,0.0,1.0,0.10342470684060576,17,false
sim1,41,1.0,0.1369881716016507,0.130292277600771,0.0,0.0,1.0,0.1369881716016507,25,false
sim1,42,1.0,0.08949669273631597,0.08388648378504493,0.0,0.0,1.0,0.08949669273631597,17,false
sim1,43,1.0,0.0515771890290036,0.07456333327377053,0.0,0.0,1.0,0.0515771890290036,14,false
sim1,44,1.0,0.12952325477246773,0.10016142646933324,0.0,0.0,1.0,0.12952325477246773,21,false
sim1,45,1.0,0.13147846639911925,0.09570086315436739,0.0,0.0,1.0,0.13147846639911925,22,false
sim1,46,1.0,0.09225294895007514,0.077821142864306,0.0,0.0,1.0,0.09225294895007514,15,false
sim1,47,1.0,0.07569045222343164,0.07403588962409507,0.0,0.0,1.0,0.07569045222343164,22,false
sim1,48,1.0,0.1093434057561886,0.13503813813135723,0.0,0.0,1.0,0.1093434057561886,21,false
sim1,49,1.0,0.07113008114311654,0.08686596051407623,0.0,0.0,1.0,0.07113008114311654,11,false
sim1,50,1.0,0.06425895941821233,0.07535774928259639,0.0,0.0,1.0,0.06425895941821233,20,false
sim1,51,1.0,0.10015824071238415,0.13421674233068026,0.0,0.0,1.0,0.10015824071238415,29,false
sim1,52,1.0,0.11461283040417927,0.11266716258189222,0.0,0.0,1.0,0.11461283040417927,17,false
sim1,53,1.0,0.13861734365831013,0.06985526521993558,0.0,0.0,1.0,0.13861734365831013,19,false
sim1,54,1.0,0.0879722558109571,0.09903264843596168,0.0,0.0,1.0,0.0879722558109571,26,false
sim1,55,1.0,0.11446608862221763,0.09846845547882349,0.0,0.0,1.0,0.11446608862221763,20,false
sim1,56,1.0,0.0965805435066637,0.11412601468519976,0.0,0.0,1.0,0.0965805435066637,18,false
sim1,57,1.0,0.07208463818311031,0.05783728686600398,0.0,0.0,1.0,0.07208463818311031,16,false
sim1,58,1.0,0.1328264971293785,0.09493781855115,0.0,0.0,1.0,0.1328264971293785,22,false
sim1,59,1.0,0.15678468443939622,0.12227027622979662,0.0,0.0,1.0,0.15678468443939622,31,false
sim1,60,1.0,0.1264074879494471,0.09615418949573985,0.0,0.0,1.0,0.1264074879494471,20,false
sim1,61,1.0,0.10644597073957175,0.11116626005570834,0.0,0.0,1.0,0.10644597073957175,18,false
sim1,62,1.0,0.13562412615413139,0.13734561726695751,0.0,0.0,1.0,0.13562412615413139,20,false
sim1,63,1.0,0.08834481274927658,0.10266812957763123,0.0,0.0,1.0,0.08834481274927658,15,false
sim1,64,1.0,0.07898724440046817,0.0667057008496899,0.0,0.0,1.0,0.07898724440046817,23,false
sim1,65,1.0,0.0779502073228366,0.10652291776675664,0.0,0.0,1.0,0.0779502073228366,16,false
sim1,66,1.0,0.07221817514227945,0.07621469511121741,0.0,0.0,1.0,0.07221817514227945,21,false
sim1,67,1.0,0.1398065354692138,0.1432226011486371,0.0,0.0,1.0,0.1398065354692138,24,false
sim1,68,1.0,0.05793739456813854,0.07885568401619589,0.0,0.0,1.0,0.05793739456813854,23,false
sim1,69,1.0,0.14833977118799646,0.12882008226266323,0.0,0.0,1.0,0.14833977118799646,22,false
sim1,70,1.0,0.13977730241217923,0.1159726959284188,0.0,0.0,1.0,0.13977730241217923,26,false
sim1,71,1.0,0.13044294397783815,0.11792359019242633,0.0,0.0,1.0,0.13044294397783815,24,false
sim1,72,1.0,0.07276542076194902,0.11113617866498197,0.0,0.0,1.0,0.07276542076194902,12,false
sim1,73,1.0,0.09646487891572067,0.07904508075675735,0.0,0.0,1.0,0.09646487891572067,16,false
sim1,74,1.0,0.10093316346661554,0.12052029700610911,0.0,0.0,1.0,0.10093316346661554,13,false
sim1,75,1.0,0.08703727274598341,0.0724162307045715,0.0,0.0,1.0,0.08703727274598341,15,false
sim1,76,1.0,0.06950935404109565,0.09429369241203782,0.0,0.0,1.0,0.06950935404109565,7,false
sim1,77,1.0,0.11161713646535777,0.12388750297313238,0.0,0.0,1.0,0.11161713646535777,17,false
sim1,78,1.0,0.107650892797253,0.0863004910273613,0.0,0.0,1.0,0.107650892797253,18,false
sim1,79,1.0,0.13373351618454488,0.0991791561076875,0.0,0.0,1.0,0.13373351618454488,19,false
sim1,80,1.0,0.1087721141071301,0.12499321982544237,0.0,0.0,1.0,0.1087721141071301,18,false
sim1,81,1.0,0.0946649454005502,0.09586035751054724,0.0,0.0,1.0,0.0946649454005502,22,false
sim1,82,1.0,0.10127297567162756,0.055400825384840396,0.0,0.0,1.0,0.10127297567162756,22,false
sim1,83,1.0,0.08651638165639558,0.08157350069764512,0.0,0.0,1.0,0.08651638165639558,24,false
sim1,84,1.0,0.11694755831807985,0.12499212399693968,0.0,0.0,1.0,0.11694755831807985,27,false
sim1,85,1.0,0.11062829536847973,0.10042663706010296,0.0,0.0,1.0,0.11062829536847973,29,false
sim1,86,1.0,0.07384754975953692,0.08309040161582032,0.0,0.0,1.0,0.07384754975953692,22,false
sim1,87,1.0,0.09192681282780242,0.132092321446895,0.0,0.0,1.0,0.09192681282780242,20,false
sim1,88,1.0,0.07245791811924662,0.07211440150393512,0.0,0.0,1.0,0.07245791811924662,14,false
sim1,89,1.0,0.0763570801771209,0.07377417412960577,0.0,0.0,1.0,0.0763570801771209,13,false
sim1,90,1.0,0.08383734388952542,0.08897506726677153,0.0,0.0,1.0,0.08383734388952542,14,false
sim1,91,1.0,0.08038667883473961,0.0814035057064903,0.0,0.0,1.0,0.08038667883473961,21,false
sim1,92,1.0,0.09004012863214068,0.0931123273036666,0.0,0.0,1.0,0.09004012863214068,13,false
sim1,93,1.0,0.1080399457443963,0.1452806047580204,0.0,0.0,1.0,0.1080399457443963,19,false
sim1,94,1.0,0.09672304918154906,0.10633915667919087,0.0,0.0,1.0,0.09672304918154906,13,false
sim1,95,1.0,0.07806675200596846,0.0818061524194317,0.0,0.0,1.0,0.07806675200596846,27,false
sim1,96,1.0,0.07840742396308958,0.07622459234743328,0.0,0.0,1.0,0.07840742396308958,13,false
sim1,97,1.0,0.13391402988468729,0.13459181127369163,0.0,0.0,1.0,0.13391402988468729,23,false
sim1,98,1.0,0.1374307941759706,0.1141267542042152,0.0,0.0,1.0,0.1374307941759706,15,false
sim1,99,1.0,0.12419585017169743,0.08737849476938628,0.0,0.0,1.0,0.12419585017169743,31,false
sim1,100,1.0,0.1201463566079817,0.11016464836156649,0.0,0.0,1.0,0.1201463566079817,22,false
sim1,1,1.5,0.09395440514840722,0.07211567297865278,0.0,0.0,1.0,0.09395440514840722,10,false
sim1,2,1.5,0.07815801545524716,0.09489265843435181,0.0,0.0,1.0,0.07815801545524716,6,false
sim1,3,1.5,0.11859516213552687,0.11629875469089296,0.0,0.0,1.0,0.11859516213552687,17,false
